TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2025-12-18 02:26:05,1766024765327,www.kirkdebates.com/,GET,,404,bw4p7-1766024765183-9cba05c592ea,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.20 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36",info,production,main,MISS,serverless,/server/index.ts,www.kirkdebates.com,www.kirkdebates.com,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,,,,,2:25:51 AM [express] [Static Files] ✓ Found directory with 9 files: /var/task/public,prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,,,
2025-12-18 02:26:05,1766024765327,www.kirkdebates.com/,GET,,404,bw4p7-1766024765183-9cba05c592ea,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.20 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36",info,production,main,MISS,serverless,/server/index.ts,www.kirkdebates.com,www.kirkdebates.com,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,,,,,"2:25:51 AM [express] [Static Files] Sample files: apple-touch-icon-180x180.png, favicon.ico, logo.svg, manifest.json, maskable-icon-512x512.png, pwa-192x192.png, pwa-512x512.png, pwa-64x64.png, service-worker.js",prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,,,
2025-12-18 02:26:05,1766024765327,www.kirkdebates.com/,GET,,404,bw4p7-1766024765183-9cba05c592ea,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.20 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36",info,production,main,MISS,serverless,/server/index.ts,www.kirkdebates.com,www.kirkdebates.com,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,,,,,2:25:51 AM [express] [Static Files] ⚠ Directory found but index.html missing at: /var/task/public/index.html,prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,,,
2025-12-18 02:26:05,1766024765327,www.kirkdebates.com/,GET,,404,bw4p7-1766024765183-9cba05c592ea,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.20 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36",info,production,main,MISS,serverless,/server/index.ts,www.kirkdebates.com,www.kirkdebates.com,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,,,,,2:25:51 AM [express] [Static Files] Using /var/task/public despite missing index.html,prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,,,
2025-12-18 02:26:05,1766024765327,www.kirkdebates.com/,GET,,404,bw4p7-1766024765183-9cba05c592ea,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.20 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36",info,production,main,MISS,serverless,/server/index.ts,www.kirkdebates.com,www.kirkdebates.com,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,,,,,2:25:51 AM [express] Running in Vercel serverless environment,prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,,,
2025-12-18 02:26:05,1766024765327,www.kirkdebates.com/,GET,,404,bw4p7-1766024765183-9cba05c592ea,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.20 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36",info,production,main,MISS,serverless,/server/index.ts,www.kirkdebates.com,www.kirkdebates.com,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,,,,,2:26:05 AM [Error: write CONNECT_TIMEOUT db.vrutowfygjodifolelyd.supabase.co:5432] Error initializing badges:,prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,,,
2025-12-18 02:26:05,1766024765183,www.kirkdebates.com/,GET,,404,bw4p7-1766024765183-9cba05c592ea,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.20 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36",,production,main,MISS,serverless,/server/index.ts,www.kirkdebates.com,www.kirkdebates.com,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,19,iad1,324,2048,,prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,01KCQMEQVTRNFSDC99B7DRA4G0,i8oD8GYSztTr,1
2025-12-18 02:25:39,1766024739217,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app/favicon.ico,GET,,200,99mwb-1766024739217-a36b8749a6b4,vercel-screenshot/1.0,,production,main,MISS,serverless,/server/index.ts,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,6,iad1,320,2048,,prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,01KCQMDYHBGCE3FMA79TAE9E9Q,t5fKDRah3yKi,1
2025-12-18 02:25:39,1766024739181,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app/favicon.ico,GET,,200,xmq7m-1766024739181-8a37a450eec4,vercel-screenshot/1.0,,production,main,MISS,serverless,/server/index.ts,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,10,iad1,321,2048,,prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,01KCQMDYCNS7MF6HWJ13QDJKDP,t5fKDRah3yKi,1
2025-12-18 02:25:39,1766024739113,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app/,GET,,404,xmq7m-1766024738937-161a69fe9257,vercel-screenshot/1.0,info,production,main,MISS,serverless,/server/index.ts,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,,,,,2:25:38 AM [Error: getaddrinfo ENOTFOUND db.vrutowfygjodifolelyd.supabase.co] Error initializing badges:,prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,,,
2025-12-18 02:25:38,1766024738937,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app/,GET,,404,xmq7m-1766024738937-161a69fe9257,vercel-screenshot/1.0,,production,main,MISS,serverless,/server/index.ts,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,7,iad1,325,2048,,prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,01KCQMDY8MQQFQ8S7WX279DKZG,HtWBUzNEhmI9,1
2025-12-18 02:25:39,1766024739119,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app/,GET,,404,z89th-1766024738936-35fbc0523276,vercel-screenshot/1.0,info,production,main,MISS,serverless,/server/index.ts,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,,,,,Setting up local authentication with email/password,prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,,,
2025-12-18 02:25:39,1766024739119,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app/,GET,,404,z89th-1766024738936-35fbc0523276,vercel-screenshot/1.0,info,production,main,MISS,serverless,/server/index.ts,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,,,,,Local authentication setup complete,prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,,,
2025-12-18 02:25:39,1766024739119,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app/,GET,,404,z89th-1766024738936-35fbc0523276,vercel-screenshot/1.0,info,production,main,MISS,serverless,/server/index.ts,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,,,,,2:25:37 AM [express] [Static Files] Searching for dist/public,prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,,,
2025-12-18 02:25:39,1766024739119,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app/,GET,,404,z89th-1766024738936-35fbc0523276,vercel-screenshot/1.0,info,production,main,MISS,serverless,/server/index.ts,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,,,,,2:25:37 AM [express] [Static Files] cwd: /var/task,prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,,,
2025-12-18 02:25:39,1766024739119,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app/,GET,,404,z89th-1766024738936-35fbc0523276,vercel-screenshot/1.0,info,production,main,MISS,serverless,/server/index.ts,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,,,,,2:25:37 AM [express] [Static Files] import.meta.dirname: /var/task/server,prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,,,
2025-12-18 02:25:39,1766024739119,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app/,GET,,404,z89th-1766024738936-35fbc0523276,vercel-screenshot/1.0,info,production,main,MISS,serverless,/server/index.ts,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,,,,,2:25:37 AM [express] [Static Files] __dirname equivalent: /var/task/server,prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,,,
2025-12-18 02:25:39,1766024739119,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app/,GET,,404,z89th-1766024738936-35fbc0523276,vercel-screenshot/1.0,info,production,main,MISS,serverless,/server/index.ts,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,,,,,"2:25:37 AM [express] [Static Files] Contents of cwd (/var/task): ___vc, node_modules, package.json, public, server, shared, vite.config.js, vite.config.js.map",prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,,,
2025-12-18 02:25:39,1766024739119,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app/,GET,,404,z89th-1766024738936-35fbc0523276,vercel-screenshot/1.0,info,production,main,MISS,serverless,/server/index.ts,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,,,,,2:25:37 AM [express] [Static Files] dist/ does not exist at: /var/task/dist,prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,,,
2025-12-18 02:25:39,1766024739119,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app/,GET,,404,z89th-1766024738936-35fbc0523276,vercel-screenshot/1.0,info,production,main,MISS,serverless,/server/index.ts,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app,fuller-feuds-dk1vxedbf-fuller-fueds-projects.vercel.app,dpl_37J7VMyfsjVycowe6A1THNuYsCjc,,,,,2:25:37 AM [express] [Static Files] Checking: /var/task/dist/public,prj_n0TbapqCgzP1lkM31pbuZ9ZfBlLz,,,,,
